CSVv2,OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, mujets, up,1,-2.4,2.4,600,1000,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.10926809906959534 , 
2, mujets, up,0,-2.4,2.4,20,30,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.034475900232791901 , 
2, mujets, up,0,-2.4,2.4,30,50,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.022771842777729034 , 
2, mujets, up,0,-2.4,2.4,50,70,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.021003959700465202 , 
2, mujets, up,0,-2.4,2.4,70,100,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.01710779219865799 , 
2, mujets, up,0,-2.4,2.4,100,140,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.016915079206228256 , 
2, mujets, up,0,-2.4,2.4,140,200,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.016691852360963821 , 
2, mujets, up,0,-2.4,2.4,200,300,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.028313413262367249 , 
2, mujets, up,0,-2.4,2.4,300,600,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.032943140715360641 , 
2, mujets, up,0,-2.4,2.4,600,1000,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.054634049534797668 , 
0, comb, central,1,-2.4,2.4,20,1000,0,1,0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))) , 
0, comb, central,0,-2.4,2.4,20,1000,0,1,0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))) , 
0, comb, down,1,-2.4,2.4,20,30,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.050478897988796234 , 
0, comb, down,1,-2.4,2.4,30,50,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.024713257327675819 , 
0, comb, down,1,-2.4,2.4,50,70,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.022328903898596764 , 
0, comb, down,1,-2.4,2.4,70,100,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.021544001996517181 , 
0, comb, down,1,-2.4,2.4,100,140,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.021542239934206009 , 
0, comb, down,1,-2.4,2.4,140,200,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.021337622776627541 , 
0, comb, down,1,-2.4,2.4,200,300,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.026948163285851479 , 
0, comb, down,1,-2.4,2.4,300,600,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.033844057470560074 , 
0, comb, down,1,-2.4,2.4,600,1000,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.04352019727230072 , 
0, comb, down,0,-2.4,2.4,20,30,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.025239448994398117 , 
0, comb, down,0,-2.4,2.4,30,50,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.01235662866383791 , 
0, comb, down,0,-2.4,2.4,50,70,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.011164451949298382 , 
0, comb, down,0,-2.4,2.4,70,100,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.010772000998258591 , 
0, comb, down,0,-2.4,2.4,100,140,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.010771119967103004 , 
0, comb, down,0,-2.4,2.4,140,200,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.01066881138831377 , 
0, comb, down,0,-2.4,2.4,200,300,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.013474081642925739 , 
0, comb, down,0,-2.4,2.4,300,600,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.016922028735280037 , 
0, comb, down,0,-2.4,2.4,600,1000,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))-0.02176009863615036 , 
0, comb, up,1,-2.4,2.4,20,30,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.050478897988796234 , 
0, comb, up,1,-2.4,2.4,30,50,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.024713257327675819 , 
0, comb, up,1,-2.4,2.4,50,70,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.022328903898596764 , 
0, comb, up,1,-2.4,2.4,70,100,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.021544001996517181 , 
0, comb, up,1,-2.4,2.4,100,140,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.021542239934206009 , 
0, comb, up,1,-2.4,2.4,140,200,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.021337622776627541 , 
0, comb, up,1,-2.4,2.4,200,300,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.026948163285851479 , 
0, comb, up,1,-2.4,2.4,300,600,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.033844057470560074 , 
0, comb, up,1,-2.4,2.4,600,1000,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.04352019727230072 , 
0, comb, up,0,-2.4,2.4,20,30,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.025239448994398117 , 
0, comb, up,0,-2.4,2.4,30,50,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.01235662866383791 , 
0, comb, up,0,-2.4,2.4,50,70,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.011164451949298382 , 
0, comb, up,0,-2.4,2.4,70,100,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.010772000998258591 , 
0, comb, up,0,-2.4,2.4,100,140,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.010771119967103004 , 
0, comb, up,0,-2.4,2.4,140,200,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.01066881138831377 , 
0, comb, up,0,-2.4,2.4,200,300,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.013474081642925739 , 
0, comb, up,0,-2.4,2.4,300,600,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.016922028735280037 , 
0, comb, up,0,-2.4,2.4,600,1000,0,1,(0.673622*((1.+(0.284768*x))/(1.+(0.191506*x))))+0.02176009863615036 , 
1, comb, central,1,-2.4,2.4,20,1000,0,1,0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))) , 
